Season,Team1,Team2,Target,Seed1,Seed2,SeedDiff,PPG_T1,PAPG_T1,PPG_T2,PAPG_T2,PDiff_T1,PDiff_T2,PPG_Diff,PAPG_Diff,PPG_T1.1,FG_Percentage_T1,FG3_Percentage_T1,FT_Percentage_T1,Ast_Per_Game_T1,TO_Per_Game_T1,Stl_Per_Game_T1,Blk_Per_Game_T1,Reb_Per_Game_T1,PPG_T2.1,FG_Percentage_T2,FG3_Percentage_T2,FT_Percentage_T2,Ast_Per_Game_T2,TO_Per_Game_T2,Stl_Per_Game_T2,Blk_Per_Game_T2,Reb_Per_Game_T2,Last5_PPG_T1,Win_Perc_Last5_T1,Last5_PointDiff_T1,Last10_PPG_T1,Win_Perc_Last10_T1,Last10_PointDiff_T1,Last5_PPG_T2,Win_Perc_Last5_T2,Last5_PointDiff_T2,Last10_PPG_T2,Win_Perc_Last10_T2,Last10_PointDiff_T2,SOS_T1,SOS_T2,ConfTourneyStage_T1,ConfTourneyStage_T2
2003,1421,1411,1,16,16,0,71.21,78.45,72.8,70.83,-7.24,1.97,1.59,7.61,71.21,0.43,0.36,0.76,13.03,16.21,7.07,3.0,35.45,72.8,0.45,0.32,0.62,14.2,15.23,6.43,2.23,37.97,73.4,0.6,-2.0,72.3,0.5,2.0,75.2,1.0,36.0,70.2,0.5,5.0,200.7,254.25,4,4
2003,1411,1421,0,16,16,0,72.8,70.83,71.21,78.45,1.97,-7.24,1.59,7.61,72.8,0.45,0.32,0.62,14.2,15.23,6.43,2.23,37.97,71.21,0.43,0.36,0.76,13.03,16.21,7.07,3.0,35.45,75.2,1.0,36.0,70.2,0.5,5.0,73.4,0.6,-2.0,72.3,0.5,2.0,254.25,200.7,4,4
2003,1112,1436,1,1,16,-15,85.21,70.25,67.79,63.14,14.96,4.66,17.42,7.11,85.21,0.46,0.35,0.7,17.64,14.79,8.46,4.21,42.82,67.79,0.44,0.34,0.66,14.21,14.07,6.86,2.97,38.69,81.8,0.8,29.0,85.6,0.9,128.0,66.8,0.8,42.0,67.8,0.8,75.0,89.41,215.06,2,4
2003,1436,1112,0,16,1,15,67.79,63.14,85.21,70.25,4.66,14.96,17.42,7.11,67.79,0.44,0.34,0.66,14.21,14.07,6.86,2.97,38.69,85.21,0.46,0.35,0.7,17.64,14.79,8.46,4.21,42.82,66.8,0.8,42.0,67.8,0.8,75.0,81.8,0.8,29.0,85.6,0.9,128.0,215.06,89.41,4,2
2003,1113,1272,1,10,7,3,75.97,69.17,74.52,65.83,6.79,8.69,1.45,3.34,75.97,0.48,0.32,0.67,15.55,14.0,5.21,4.24,37.0,74.52,0.44,0.35,0.65,16.62,13.79,7.38,5.07,40.03,79.2,0.4,4.0,82.7,0.6,65.0,73.0,0.8,48.0,75.8,0.9,111.0,89.32,113.95,2,3
2003,1272,1113,0,7,10,-3,74.52,65.83,75.97,69.17,8.69,6.79,1.45,3.34,74.52,0.44,0.35,0.65,16.62,13.79,7.38,5.07,40.03,75.97,0.48,0.32,0.67,15.55,14.0,5.21,4.24,37.0,73.0,0.8,48.0,75.8,0.9,111.0,79.2,0.4,4.0,82.7,0.6,65.0,113.95,89.32,3,2
2003,1141,1166,1,11,6,5,79.34,73.24,79.24,64.33,6.1,14.91,0.1,8.91,79.34,0.51,0.38,0.77,15.62,18.24,7.1,4.0,33.86,79.24,0.5,0.39,0.69,16.82,13.36,8.39,4.45,34.06,83.4,1.0,85.0,83.9,0.9,117.0,71.0,0.8,44.0,70.6,0.8,70.0,147.78,154.2,4,4
2003,1166,1141,0,6,11,-5,79.24,64.33,79.34,73.24,14.91,6.1,0.1,8.91,79.24,0.5,0.39,0.69,16.82,13.36,8.39,4.45,34.06,79.34,0.51,0.38,0.77,15.62,18.24,7.1,4.0,33.86,71.0,0.8,44.0,70.6,0.8,70.0,83.4,1.0,85.0,83.9,0.9,117.0,154.2,147.78,4,4
2003,1143,1301,1,8,9,-1,74.48,69.76,72.4,68.0,4.72,4.4,2.08,1.76,74.48,0.47,0.38,0.69,16.0,14.17,6.55,2.79,35.62,72.4,0.46,0.35,0.77,14.67,14.2,7.77,3.07,31.77,69.2,0.4,-11.0,71.2,0.6,16.0,74.0,0.6,0.0,70.3,0.5,-17.0,108.51,96.91,3,4
2003,1301,1143,0,9,8,1,72.4,68.0,74.48,69.76,4.4,4.72,2.08,1.76,72.4,0.46,0.35,0.77,14.67,14.2,7.77,3.07,31.77,74.48,0.47,0.38,0.69,16.0,14.17,6.55,2.79,35.62,74.0,0.6,0.0,70.3,0.5,-17.0,69.2,0.4,-11.0,71.2,0.6,16.0,96.91,108.51,4,3
